Data do Acidente,Latitude,Longitude,Condições Climáticas,Hora
2020-12-25,-23.3423100802915,-46.7458478802915,,3.0
2020-12-15,-23.5074552802915,-46.8687358802915,,8.0
2020-12-15,-23.5274237,-46.8640458,,13.0
2020-12-04,-23.5267139802915,-46.5778302802915,,21.0
2020-12-02,-23.4382374802915,-46.4974011802915,,10.0
2020-11-24,-23.5274237,-46.8640458,,4.0
2020-11-18,-23.4819396802915,-46.8778999802915,,13.0
2020-10-18,-23.5512265,-46.4050742,,23.0
2020-10-16,-23.6037953802915,-46.6531187802915,,18.0
2020-10-14,-23.5060701,-46.5403355,,5.0
2020-10-12,-23.6676159802915,-46.7848145802915,,10.0
2020-09-30,-23.4086868802915,-46.4010941802915,,19.0
2020-09-21,-23.7763555802915,-46.60061088029149,,15.0
2020-09-18,-23.4235123802915,-46.8514055802915,,21.0
2020-09-13,-23.6814815802915,-46.8981064802915,,0.0
2020-08-30,-23.7171890802915,-46.61287228029149,,22.0
2020-08-30,-23.4072710802915,-47.0084434802915,,11.0
2020-07-30,-23.5668461802915,-46.03758038029149,,14.0
2020-07-29,-23.4085539802915,-46.4094979802915,,21.0
2020-07-12,-23.6455562802915,-46.7360019802915,,2.0
2020-07-03,-23.3348387802915,-46.8376804802915,,22.0
2020-04-22,-23.593504,-46.4135172,,0.0
2020-03-17,-23.6347854,-46.7285093,,9.0
2020-03-01,-23.4724469802915,-46.60720798029149,,18.0
2020-01-13,-23.5120064802915,-46.34126248029149,,18.0
2020-01-10,-23.6657537802915,-46.44949968029151,,4.0
2020-01-01,-23.5707476802915,-46.3369383802915,,6.0
2019-12-11,-23.8173935,-46.7146132,,16.0
2019-12-07,-23.6798256802915,-46.55839178029149,,20.0
2019-12-01,-23.5538913802915,-46.8269669802915,,6.0
2019-11-17,-23.4746866802915,-46.34494368029149,,4.0
2019-11-09,-23.3788623,-46.8737409,,16.0
2019-11-09,-23.3788623,-46.8737409,,16.0
2019-10-31,-23.6336443,-46.7611498,,3.0
2019-10-25,-23.5951900802915,-46.8292981802915,,22.0
2019-09-15,-23.7713446802915,-46.47292228029149,,20.0
2019-09-14,-23.4624502802915,-46.3660242802915,,4.0
2019-08-18,-23.6311908,-46.75448778029151,,8.0
2019-08-17,-23.6749229802915,-46.6154878802915,,18.0
2019-06-23,-23.5071557,-46.4909974,,15.0
2019-05-09,-23.5559252802915,-46.9127913802915,,17.0
2019-05-07,-23.5218649,-46.8919243,,13.0
2019-05-03,-23.6731392,-46.4789712,,10.0
2019-01-28,-23.7153398802915,-46.5312290802915,,3.0
2019-01-17,-23.4273744802915,-46.41208798029151,,5.0
2018-12-08,-23.536572,-46.8665889,,1.0
2018-12-08,-23.536572,-46.8665889,,1.0
2018-12-03,-23.6353848802915,-46.9520789802915,,18.0
2018-11-26,-23.6672204,-46.7466403,,1.0
2018-11-25,-23.5431001802915,-46.9341426802915,,5.0
2018-11-13,-23.6078706802915,-47.02359438029149,,16.0
2018-11-04,-23.5600492802915,-46.2884556802915,,18.0
2018-10-27,-22.8808167802915,-46.3743553802915,,18.0
2018-10-21,-23.6491139802915,-46.7800556802915,,15.0
2018-10-09,-23.5373767802915,-46.65297078029151,,8.0
2018-08-19,-22.8808167802915,-46.3743553802915,,18.0
2018-08-05,-23.5204369802915,-46.7547069802915,,23.0
2018-07-23,-23.4015383802915,-46.3460092802915,,1.0
2018-07-15,-23.4817350802915,-46.88993818029149,,0.0
2018-06-15,-23.7391302802915,-46.6937782802915,,18.0
2018-06-10,-23.3100399802915,-46.9105762802915,,12.0
2018-06-02,-23.6572973802915,-46.4920832802915,,0.0
2018-05-31,-23.4725990802915,-46.4332439802915,,17.0
2018-05-05,-23.4611481802915,-46.4451836802915,,4.0
2018-05-04,-23.6566715802915,-46.76784648029151,,5.0
2018-04-15,-23.5941159802915,-46.71971918029149,,1.0
2018-04-08,-23.5771670802915,-46.75406788029149,,20.0
2018-04-06,-23.520212,-46.33788209999999,,20.0
2018-04-05,-23.49109978029151,-46.5494592802915,,18.0
2018-02-11,-23.5656880802915,-46.8203238802915,,18.0
2017-10-09,-23.6694175802915,-46.73888828029149,,4.0
2017-10-05,-23.5518022802915,-46.6352601802915,,18.0
2017-09-24,-23.5504974802915,-46.7349876802915,,6.0
2017-05-07,-23.7722703802915,-46.72506218029149,,12.0
2016-07-28,-23.5924447802915,-46.6957212802915,,14.0
2016-06-28,-23.5406649802915,-46.77345078029149,,20.0
2016-03-12,-23.5983477802915,-46.64808628029149,,3.0
2016-01-31,-23.7250247802915,-46.57605178029149,,6.0
2015-12-22,-23.6143678802915,-46.6993575802915,,20.0
2020-06-30,-23.4896450302915,-46.65838023029149,,16.0
2020-06-17,-23.5431001802915,-46.9341426802915,,12.0
2020-04-16,-23.6813609802915,-46.7780629802915,,22.0
2020-02-09,-23.5274496802915,-46.6961104802915,,6.0
2019-09-25,-23.5993108802915,-46.4697313802915,,18.0
2019-08-17,-23.7039689802915,-46.5548379802915,,18.0
2019-08-16,-23.5522725802915,-46.46503928029149,,5.0
2019-06-29,-23.5081859802915,-46.5598829802915,,14.0
2019-02-28,-23.6716335802915,-46.5121250802915,,14.0
2019-02-23,-23.5459751802915,-46.83243548029149,,21.0
2018-10-09,-23.5509001802915,-46.9424737802915,,17.0
2018-06-22,-23.5035828802915,-46.3502028802915,,21.0
2018-05-28,-23.5283132802915,-46.61963798029149,,18.0
2018-05-06,-23.6113486802915,-46.59111488029149,,2.0
2018-04-14,-23.7007885802915,-46.7687816802915,,23.0
2018-02-03,-23.4774056802915,-46.35269768029149,,6.0
2017-10-09,-23.6694175802915,-46.73888828029149,,4.0
2014-12-31,-23.6603582802915,-46.4592759802915,,17.0
